iso3,year,crisis_next_12m,banking_crisis_next_12m,debt_crisis_next_12m,crisis_any,banking_crisis,currency_crisis,debt_crisis,inflation,gdp_growth,unemployment,real_interest_rate_10y
MYS,1997.0,1.0,1.0,0.0,1,1,0,0,-0.4696795410609546,7.32274185035924,-1.2357722159358313,3.199334816666666
MYS,1998.0,1.0,1.0,0.0,1,1,0,0,-0.1718244511223803,-7.35941518817556,-0.9203167008671872,2.626002385
MYS,1999.0,1.0,1.0,0.0,1,1,0,0,-0.4578204004691198,6.13761201057692,-0.833481509847351,2.8869701641666663
MYS,2000.0,1.0,1.0,0.0,1,1,0,0,-0.6617011234072273,8.85886816969386,-0.999279687177209,3.1165892308333336
MYS,2001.0,0.0,0.0,0.0,1,1,0,0,-0.6858862995597913,0.517675319192861,-0.7969535278014032,2.237447555
MYS,2002.0,0.0,0.0,0.0,0,0,0,0,-0.6092452817454398,5.39098830692797,-0.8151282589621281,2.0336032691666666
MYS,2003.0,0.0,0.0,0.0,0,0,0,0,-0.7587602012432136,5.7884992858875,-0.7682361408951953,1.4457960183333334
MYS,2004.0,0.0,0.0,0.0,0,0,0,0,-0.6849478685012248,6.78343772370305,-0.7933396781841339,1.7008579225
MYS,2005.0,0.0,0.0,0.0,0,0,0,0,-0.4256694099238437,5.33213916141486,-0.7969535278014032,1.8895054916666665
MYS,2006.0,0.0,0.0,0.0,0,0,0,0,-0.3449029632475904,5.5848470671515,-0.8371739144776611,2.2836022075
MYS,2007.0,0.0,0.0,0.0,0,0,0,0,-0.5702119318665789,6.29878592740947,-0.8782806653669637,2.0393217333333333
MYS,2008.0,0.0,0.0,0.0,0,0,0,0,-0.1564061291605489,4.83176988913097,-0.8669794354359932,1.3017102483333334
MYS,2009.0,0.0,0.0,0.0,0,0,0,0,-0.8939832434972321,-1.51352871598714,-0.7646772135064721,1.0468915
MYS,2010.0,0.0,0.0,0.0,0,0,0,0,-0.6442643106887774,7.42484738326097,-0.8745059552470131,0.8691600608333333
MYS,2011.0,0.0,0.0,0.0,0,0,0,0,-0.3991373628577731,5.29391283414003,-0.9792202247324814,0.5260605291666667
MYS,2012.0,0.0,0.0,0.0,0,0,0,0,-0.6363775395138239,5.47345419253853,-0.9832146993563425,-0.0132494616666666
MYS,2013.0,0.0,0.0,0.0,0,0,0,0,-0.5569878433335618,4.69372252557893,-0.9436535061108242,0.2878436908333333
MYS,2014.0,0.0,0.0,0.0,0,0,0,0,-0.4032519924311575,6.00672194558203,-1.0483333674045516,0.61196865
MYS,2015.0,0.0,0.0,0.0,0,0,0,0,-0.5570926998999575,5.09153242155011,-0.9593764837751357,0.5890241975
NGA,1960.0,0.0,0.0,0.0,0,0,0,0,-0.15608920524965067,0.191795489572229,-0.6542079722468321,6.9346889958333335
NGA,1961.0,0.0,0.0,0.0,0,0,0,0,-0.08536130757985247,0.191795489572229,-0.6542079722468321,6.9346889958333335
NGA,1962.0,0.0,0.0,0.0,0,0,0,0,-0.17225563507497849,4.10299258868014,-0.6542079722468321,6.9346889958333335
NGA,1963.0,0.0,0.0,0.0,0,0,0,0,-3.634559792689415,8.57861891529701,-0.6542079722468321,6.9346889958333335
NGA,1964.0,0.0,0.0,0.0,0,0,0,0,-0.8169460322113966,4.95048866604155,-0.6542079722468321,6.9346889958333335
NGA,1965.0,0.0,0.0,0.0,0,0,0,0,-0.28840019663935496,4.88497683412908,-0.6542079722468321,6.9346889958333335
NGA,1966.0,0.0,0.0,0.0,0,0,0,0,0.14540236827193706,-4.25051418415514,-0.6542079722468321,6.9346889958333335
